Time (sec),A/F Correction #1,A/F Correction #3,A/F Learning #1,A/F Sensor #1 Ratio,AVCS Intake Left,AVCS Intake Right,Closed Loop Fuel Target,Closed/Open Loop Switch,Commanded Fuel Final,Coolant Temperature,Dynamic Advance Multiplier,Engine Speed,Feedback Knock Correction,Hot-Restart Enrichment,Ignition Timing,Inj. #1 Pulse Width {No Latency},Manifold Rel. Pressure,Mass Airflow,Primary Ignition,Sensor Input Monitor Only {Rear O2},Tip-in Enrich. {Last Applied},Wall Wetting Final,Warm-Up Enrichment,Inj. Duty Cycle
256.215,7.03,-0.86,0.00,14.93,40,39,14.38,Closed,15.02,183,0.5000,2663,0.00,0.0000,45.00,1.452,-7.56,29.33,45.04,14.62,0.0000,0.0000,0.0000,5.68
256.344,7.03,0.16,0.00,14.59,40,39,14.53,Closed,15.02,183,0.5000,2680,0.00,0.0000,45.00,1.436,-7.56,29.45,45.04,14.47,0.0000,0.0000,0.0000,5.72
256.473,7.03,0.23,0.00,14.47,40,39,14.55,Closed,15.03,183,0.5000,2690,0.00,0.0000,45.00,1.423,-7.60,28.51,45.04,14.48,0.0000,-0.0002,0.0000,5.74
256.605,6.25,1.09,0.00,14.47,40,39,14.68,Closed,15.05,183,0.5000,2674,0.00,0.0000,45.00,1.377,-7.67,28.63,45.04,14.43,0.0000,-0.0002,0.0000,5.13
256.731,4.69,1.72,0.00,14.47,39,38,14.77,Closed,15.06,183,0.5000,2673,0.00,0.0000,45.00,1.352,-7.75,28.17,45.04,14.40,0.0000,-0.0003,0.0000,5.13
256.860,4.69,1.48,0.00,14.59,39,37,14.74,Closed,15.07,183,0.5000,2686,0.00,0.0000,45.00,1.340,-7.86,28.17,45.04,14.61,0.0000,-0.0003,0.0000,5.16
256.989,3.91,3.20,0.00,14.70,38,37,15.00,Closed,15.08,183,0.5000,2678,0.00,0.0000,45.00,1.315,-7.89,28.05,45.04,14.64,0.0000,-0.0003,0.0000,5.14
257.118,3.13,2.81,0.00,14.70,38,37,14.94,Closed,15.08,183,0.5000,2691,0.00,0.0000,45.00,1.283,-7.99,27.70,45.04,14.65,0.0000,-0.0004,0.0000,5.17
257.248,2.34,3.20,0.00,14.70,37,36,15.00,Closed,15.10,183,0.5000,2689,0.00,0.0000,45.00,1.260,-8.07,27.71,45.04,14.62,0.0000,-0.0004,0.0000,5.16
257.377,1.56,2.50,0.00,14.81,37,36,14.89,Closed,15.09,183,0.5000,2694,0.00,0.0000,45.00,1.269,-8.07,28.06,45.04,14.76,0.0000,-0.0004,0.0000,5.17
257.506,1.56,3.20,0.00,14.93,36,35,15.00,Closed,15.09,183,0.5000,2704,0.00,0.0000,45.00,1.265,-8.13,27.83,45.04,14.92,0.0000,-0.0003,0.0000,5.19
257.635,1.56,3.20,0.00,14.93,37,35,15.00,Closed,15.09,183,0.5000,2710,0.00,0.0000,45.00,1.255,-8.11,27.58,45.04,15.02,0.0000,-0.0003,0.0000,5.20
257.765,1.56,3.20,0.00,14.93,36,35,15.00,Closed,15.09,183,0.5000,2681,0.00,0.0000,45.00,1.248,-8.14,27.83,45.04,14.92,0.0000,-0.0002,0.0000,5.15
257.893,1.56,2.27,0.00,14.81,37,34,14.82,Closed,15.10,183,0.5000,2689,0.00,0.0000,45.00,1.249,-8.16,27.83,45.04,15.12,0.0000,-0.0002,0.0000,5.16
258.030,0.78,2.81,0.00,14.93,36,34,14.92,Closed,15.10,183,0.5000,2716,0.00,0.0000,45.00,1.242,-8.14,27.82,45.04,14.66,0.0000,-0.0002,0.0000,5.22
258.150,0.78,2.81,0.00,14.93,36,35,14.87,Closed,15.09,183,0.5000,2707,0.00,0.0000,45.00,1.249,-8.19,27.71,45.04,14.78,0.0000,-0.0002,0.0000,5.20
258.280,0.78,3.13,0.00,14.93,36,35,14.98,Closed,15.10,183,0.5000,2709,0.00,0.0000,45.00,1.240,-8.20,27.36,45.04,14.98,0.0000,-0.0001,0.0000,5.20
258.408,0.78,2.58,0.00,14.93,36,35,14.86,Closed,15.10,183,0.5000,2705,0.00,0.0000,45.00,1.246,-8.16,28.30,45.04,14.72,0.0000,0.0000,0.0000,5.19
258.540,0.78,3.20,0.00,14.93,36,35,14.95,Closed,15.08,183,0.5000,2696,0.00,0.0000,45.00,1.262,-8.11,28.18,45.04,14.99,0.0000,0.0000,0.0000,5.18
258.666,0.78,3.05,0.00,14.93,36,35,14.86,Closed,15.08,183,0.5000,2700,0.00,0.0000,45.00,1.266,-8.10,28.18,45.04,14.98,0.0000,0.0000,0.0000,5.18
258.795,0.78,3.20,0.00,14.93,36,36,15.00,Closed,15.08,183,0.5000,2723,0.00,0.0000,45.00,1.243,-8.11,27.59,45.04,14.86,0.0000,0.0000,0.0000,5.23
258.939,0.00,1.95,0.00,14.81,36,35,14.90,Closed,15.09,183,0.5000,2719,0.00,0.0000,45.00,1.230,-8.13,27.95,45.04,14.73,0.0000,0.0000,0.0000,5.22
259.053,0.78,2.42,0.00,14.93,36,34,14.84,Closed,15.09,183,0.5000,2710,0.00,0.0000,45.00,1.227,-8.20,27.36,45.04,14.98,0.0000,0.0000,0.0000,5.20
259.182,0.78,3.20,0.00,15.04,35,34,15.00,Closed,15.11,183,0.5000,2708,0.00,0.0000,45.00,1.222,-8.22,27.60,45.04,14.83,0.0000,0.0000,0.0000,5.20
259.311,0.78,3.05,0.00,14.93,35,33,14.95,Closed,15.10,183,0.5000,2703,0.00,0.0000,45.00,1.226,-8.25,27.36,45.04,15.05,0.0000,0.0000,0.0000,5.19
259.441,0.78,3.20,0.00,15.04,35,33,15.00,Closed,15.11,183,0.5000,2712,0.00,0.0000,45.00,1.220,-8.26,27.48,45.04,14.97,0.0000,-0.0001,0.0000,5.21
259.570,0.78,2.34,0.00,14.93,35,33,14.91,Closed,15.10,183,0.5000,2732,0.00,0.0000,45.00,1.219,-8.31,27.95,45.04,14.65,0.0000,-0.0001,0.0000,5.25
259.704,0.78,2.58,0.00,14.93,35,33,14.89,Closed,15.10,183,0.5000,2730,0.00,0.0000,45.00,1.225,-8.26,27.60,45.04,14.92,0.0000,0.0000,0.0000,5.24
259.828,0.00,2.73,0.00,14.93,35,34,14.95,Closed,15.11,183,0.5000,2731,0.00,0.0000,45.00,1.203,-8.31,27.13,45.04,14.87,0.0000,0.0000,0.0000,5.24
259.957,0.78,2.19,0.00,14.93,34,33,14.80,Closed,15.11,183,0.5000,2709,0.00,0.0000,45.00,1.196,-8.32,27.13,45.04,14.82,0.0000,-0.0001,0.0000,5.20
260.092,0.78,2.73,0.00,14.93,34,33,14.90,Closed,15.11,183,0.5000,2713,0.00,0.0000,45.00,1.201,-8.36,27.48,45.04,14.82,0.0000,-0.0001,0.0000,5.21
260.215,0.78,2.58,0.00,15.04,34,33,14.94,Closed,15.11,183,0.5000,2724,0.00,0.0000,45.00,1.185,-8.44,26.07,45.04,14.95,0.0000,-0.0003,0.0000,5.23
260.345,0.00,3.20,0.00,14.81,33,33,15.00,Closed,15.14,183,0.5000,2718,0.00,0.0000,45.00,1.110,-8.60,25.12,45.04,14.68,0.0000,-0.0004,0.0000,4.64
260.475,-0.78,2.27,0.00,14.70,32,31,14.91,Closed,15.16,183,0.5000,2730,0.00,0.0000,45.00,1.075,-8.76,25.01,45.04,14.43,0.0000,-0.0005,0.0000,4.66
260.602,-0.78,1.17,0.00,14.70,30,29,14.65,Closed,15.17,183,0.5000,2743,0.00,0.0000,45.00,1.068,-8.86,25.49,45.04,14.58,0.0000,-0.0005,0.0000,4.68
260.731,0.00,2.58,0.00,14.93,29,27,14.85,Closed,15.15,183,0.5000,2741,0.00,0.0000,45.00,1.114,-8.79,26.20,45.04,15.06,0.0000,-0.0003,0.0000,4.68
260.860,0.00,3.20,0.00,15.04,29,27,14.99,Closed,15.13,183,0.5000,2709,0.00,0.0000,45.00,1.135,-8.79,25.84,45.04,15.29,0.0000,-0.0003,0.0000,4.62
260.995,0.78,3.20,0.00,15.16,31,29,14.99,Closed,15.14,183,0.5000,2731,0.00,0.0000,45.00,1.109,-8.79,25.49,45.04,14.64,0.0000,-0.0002,0.0000,4.66
261.117,-0.78,2.97,0.00,14.59,30,29,14.98,Closed,15.14,183,0.5000,2722,0.00,0.0000,45.00,1.076,-8.83,25.49,45.04,14.50,0.0000,-0.0003,0.0000,4.65
261.247,-0.78,0.31,0.00,14.70,30,28,14.62,Closed,15.14,183,0.5000,2721,0.00,0.0000,45.00,1.093,-8.88,25.49,45.04,14.76,0.0000,-0.0002,0.0000,4.64
261.376,0.78,1.95,0.00,14.93,29,28,14.67,Closed,15.14,183,0.5000,2745,0.00,0.0000,45.00,1.100,-8.85,25.49,45.04,15.01,0.0000,-0.0001,0.0000,4.68
261.504,0.00,3.20,0.00,14.93,30,27,14.98,Closed,15.14,183,0.5000,2738,0.00,0.0000,45.00,1.098,-8.83,25.73,45.04,14.65,0.0000,-0.0001,0.0000,4.67
261.638,-0.78,2.34,0.00,14.81,29,28,14.99,Closed,15.14,183,0.5000,2751,0.00,0.0000,45.00,1.088,-8.82,25.97,45.04,14.78,0.0000,0.0000,0.0000,4.69
261.762,-0.78,2.27,0.00,14.81,30,28,14.74,Closed,15.14,183,0.5000,2744,0.00,0.0000,45.00,1.094,-8.83,25.73,45.04,14.90,0.0000,0.0000,0.0000,4.68
261.898,-0.78,3.20,0.00,14.93,30,28,14.98,Closed,15.14,183,0.5000,2752,0.00,0.0000,45.00,1.091,-8.83,25.73,45.04,14.86,0.0000,0.0000,0.0000,4.70
262.021,-0.78,2.97,0.00,14.81,29,28,14.98,Closed,15.14,183,0.5000,2736,0.00,0.0000,45.00,1.086,-8.82,25.73,45.04,14.78,0.0000,0.0000,0.0000,4.67
262.150,-0.78,2.34,0.00,14.93,29,28,14.83,Closed,15.14,183,0.5000,2724,0.00,0.0000,45.00,1.083,-8.83,25.36,45.04,14.86,0.0000,0.0000,0.0000,4.65
262.286,-1.56,3.20,0.00,14.81,29,28,14.98,Closed,15.14,183,0.5000,2737,0.00,0.0000,45.00,1.075,-8.86,25.60,45.04,14.80,0.0000,-0.0001,0.0000,4.67
262.408,-0.78,3.20,0.00,14.93,29,28,14.98,Closed,15.14,183,0.5000,2727,0.00,0.0000,45.00,1.063,-8.89,25.61,45.04,14.98,0.0000,0.0000,0.0000,4.65
262.546,-1.56,2.42,0.00,14.93,29,28,14.87,Closed,15.14,181,0.5000,2748,0.00,0.0000,45.00,1.067,-8.91,25.37,45.04,14.97,0.0000,0.0000,0.0000,4.69
262.666,-0.78,3.20,0.00,14.93,29,27,14.98,Closed,15.15,181,0.5000,2748,0.00,0.0000,45.00,1.058,-8.95,25.49,45.04,14.64,0.0000,-0.0002,0.0000,4.69
262.795,-2.34,2.81,0.00,14.81,28,27,14.92,Closed,15.16,181,0.5000,2754,0.00,0.0000,45.00,1.036,-9.04,24.53,45.04,14.72,0.0000,-0.0003,0.0000,4.70
262.927,-1.56,2.03,0.00,14.81,28,26,14.81,Closed,15.17,181,0.5000,2763,0.00,0.0000,45.00,1.010,-9.08,24.66,45.04,14.77,0.0000,-0.0002,0.0000,4.72
263.054,-1.56,3.05,0.00,14.81,26,25,14.95,Closed,15.15,181,0.5000,2753,0.00,0.0000,45.00,1.031,-9.04,25.25,45.04,14.89,0.0000,-0.0002,0.0000,4.70
263.185,-1.56,3.20,0.00,15.04,26,25,14.98,Closed,15.14,181,0.5000,2765,0.00,0.0000,45.00,1.059,-9.05,24.90,45.04,15.19,0.0000,-0.0003,0.0000,4.72
263.312,-0.78,3.20,0.00,15.16,27,25,14.97,Closed,15.20,181,0.5000,2755,0.00,0.0000,45.00,0.970,-9.33,21.61,45.04,15.16,0.0000,-0.0006,0.0000,4.70
263.441,-2.34,2.66,0.00,14.59,26,24,14.87,Closed,15.27,181,0.5000,2737,0.00,0.0000,45.00,0.816,-9.71,18.56,45.04,14.22,0.0000,-0.0010,0.0000,4.09
263.570,-3.91,0.39,0.00,14.36,23,21,14.52,Closed,15.37,181,0.5000,2737,0.00,0.0000,45.00,0.674,-10.25,15.29,43.72,14.26,0.0000,-0.0014,0.0000,4.09
263.699,-4.69,-0.55,0.00,14.13,12,4,14.40,Closed,15.09,181,0.5000,2725,0.00,0.0000,40.00,0.545,-10.60,13.13,38.79,13.99,0.0000,-0.0015,0.0000,3.49
263.839,-5.47,-0.78,0.00,14.01,0,0,14.40,Closed,14.74,181,0.5000,2729,0.00,0.0000,34.50,0.450,-10.78,12.54,33.19,13.90,0.0000,-0.0014,0.0000,3.49
263.957,-5.47,0.86,0.00,13.78,0,0,14.66,Closed,14.62,181,0.5000,2744,0.00,0.0000,29.00,0.000,-10.85,12.32,27.93,13.30,0.0000,-0.0013,0.0000,2.34
264.085,0.00,0.86,0.00,13.78,0,0,14.66,Open,14.57,181,0.5000,2735,0.00,0.0000,24.00,0.000,-10.91,12.32,23.95,13.66,0.0000,-0.0011,0.0000,2.33
264.214,0.00,0.86,0.00,14.24,0,0,14.66,Open,14.55,181,0.5000,2723,0.00,0.0000,24.00,0.000,-10.88,12.43,23.95,14.10,0.0000,-0.0009,0.0000,2.32
264.344,0.00,0.86,0.00,15.16,0,0,14.66,Open,14.54,181,0.5000,2726,0.00,0.0000,24.00,0.000,-10.87,12.22,23.95,16.40,0.0000,0.0000,0.0000,2.33
264.474,0.00,0.86,0.00,17.00,0,0,14.66,Open,14.54,181,0.5000,2696,0.00,0.0000,24.00,0.000,-10.81,12.27,23.95,18.00,0.0000,0.0000,0.0000,2.30
264.602,0.00,0.86,0.00,20.21,0,0,14.66,Open,14.54,181,0.5000,2685,0.00,0.0000,24.00,0.000,-10.78,12.32,23.95,18.00,0.0000,0.0000,0.0000,2.29
264.731,0.00,0.86,0.00,20.67,0,0,14.66,Open,14.54,181,0.5000,2696,0.00,0.0000,24.00,0.000,-10.78,12.32,23.95,17.85,0.0000,0.0000,0.0000,2.30
264.860,0.00,0.86,0.00,20.67,0,0,14.66,Open,14.54,181,0.5000,2691,0.00,0.0000,24.00,0.000,-10.78,12.27,24.27,18.00,0.0000,0.0000,0.0000,2.30
264.989,0.00,0.86,0.00,20.67,0,0,14.66,Open,14.54,181,0.5000,2697,0.00,0.0000,28.00,0.456,-10.75,12.32,29.54,17.84,0.0000,0.0000,0.0000,3.45
265.118,0.00,0.86,0.00,20.67,4,2,14.66,Open,14.54,181,0.5000,2649,0.00,0.0000,33.50,0.481,-10.85,12.92,34.80,18.00,0.0000,0.0000,0.0000,3.39
265.248,0.00,0.86,0.00,20.67,7,4,14.66,Open,14.53,181,0.5000,2665,0.00,0.0000,39.00,0.513,-10.79,14.21,40.40,18.00,0.0000,0.0000,0.0000,3.41
265.379,0.00,0.86,0.00,20.67,7,6,14.65,Open,14.52,181,0.5000,2677,0.00,0.0000,44.50,0.581,-10.72,14.46,45.04,16.50,0.0000,0.0000,0.0000,3.43
265.508,0.00,0.86,0.00,20.67,8,7,14.64,Open,14.52,181,0.5000,2672,0.00,0.0000,45.00,0.604,-10.66,14.54,45.04,15.40,0.0000,0.0006,0.0000,3.42
265.638,0.00,0.86,0.00,17.34,9,8,14.64,Open,14.50,181,0.5000,2652,0.00,0.0000,45.00,0.613,-10.62,14.79,45.04,14.40,0.0000,0.0008,0.0000,3.39
265.777,0.00,0.39,0.00,14.93,9,8,14.64,Open,14.50,181,0.5000,2658,0.00,0.0000,45.00,0.620,-10.55,15.52,45.04,14.26,0.0000,0.0011,0.0000,3.40
265.898,-2.34,0.39,0.00,14.24,9,8,14.56,Closed,14.49,181,0.5000,2660,0.00,0.0000,45.00,0.670,-10.37,16.68,45.04,13.93,0.0000,0.0016,0.0000,3.97
266.028,-2.34,0.39,0.00,14.36,10,8,14.54,Closed,14.47,181,0.5000,2670,0.00,0.0000,45.00,0.692,-10.37,16.32,45.04,14.36,0.0000,0.0012,0.0000,3.99
266.165,-1.56,0.86,0.00,14.70,12,10,14.61,Closed,14.47,181,0.5000,2634,0.00,0.0000,45.00,0.681,-10.43,16.13,45.04,14.33,0.0000,0.0008,0.0000,3.93
266.287,-2.34,0.86,0.00,14.47,12,10,14.61,Closed,14.48,181,0.5000,2642,0.00,0.0000,45.00,0.671,-10.46,16.19,45.04,14.46,0.0000,0.0006,0.0000,3.94
266.416,-3.13,0.86,0.00,14.36,12,10,14.61,Closed,14.48,181,0.5000,2654,0.00,0.0000,45.00,0.668,-10.44,16.17,45.04,14.32,0.0000,0.0006,0.0000,3.96
266.545,-3.91,0.86,0.00,14.24,12,10,14.61,Closed,14.48,181,0.5000,2639,0.00,0.0000,45.00,0.658,-10.43,16.84,45.04,13.97,0.0000,0.0007,0.0000,3.94
266.675,-5.47,0.86,0.00,14.24,12,11,14.61,Closed,14.82,181,0.5000,2635,0.00,0.0000,45.00,0.667,-10.34,17.26,45.04,14.07,0.0000,0.0010,0.0000,3.93
266.809,-4.69,1.33,0.00,14.47,13,12,14.64,Closed,14.97,181,0.5000,2651,0.00,0.0000,45.00,0.688,-10.25,18.54,45.04,14.32,0.0000,0.0014,0.0000,3.96
266.934,-4.69,3.05,0.00,14.81,14,12,14.91,Closed,15.03,181,0.5000,2656,0.00,0.0000,45.00,0.726,-10.12,18.88,45.04,14.64,0.0000,0.0016,0.0000,3.97
267.067,-3.91,3.05,0.00,15.04,16,14,14.92,Closed,15.14,181,0.5000,2622,0.00,0.0000,45.00,0.752,-10.08,18.97,45.04,15.12,0.0000,0.0016,0.0000,3.92
267.192,-3.13,3.05,0.00,15.27,18,16,14.92,Closed,15.24,181,0.5000,2646,0.00,0.0000,45.00,0.765,-10.05,19.07,45.04,15.07,0.0000,0.0014,0.0000,3.95
267.321,-3.13,3.05,0.00,15.04,19,18,14.91,Closed,15.31,181,0.5000,2648,0.00,0.0000,45.00,0.754,-10.08,18.64,45.04,14.95,0.0000,0.0011,0.0000,3.95
267.449,-3.13,3.05,0.00,14.93,19,18,14.90,Closed,15.34,181,0.5000,2625,0.00,0.0000,45.00,0.745,-10.08,18.56,45.04,14.73,0.0000,0.0009,0.0000,3.92
267.578,-3.13,2.50,0.00,14.81,19,18,14.86,Closed,15.36,181,0.5000,2651,0.00,0.0000,45.00,0.744,-10.09,18.90,45.04,14.48,0.0000,0.0008,0.0000,3.96
267.712,-2.34,2.11,0.00,14.93,19,17,14.71,Closed,15.34,181,0.5000,2641,0.00,0.0000,45.00,0.750,-10.08,18.47,45.04,14.80,0.0000,0.0006,0.0000,3.94
267.838,-2.34,2.97,0.00,14.93,19,17,14.81,Closed,15.36,181,0.5000,2629,0.00,0.0000,45.00,0.744,-10.08,18.47,45.04,14.61,0.0000,0.0006,0.0000,3.93
267.967,-2.34,3.05,0.00,14.93,19,17,14.90,Closed,15.37,181,0.5000,2621,0.00,0.0000,45.00,0.745,-10.11,18.30,45.04,14.68,0.0000,0.0000,0.0000,3.91
268.097,-2.34,2.97,0.00,14.93,19,17,14.90,Closed,15.42,181,0.5000,2633,0.00,0.0000,45.00,0.717,-10.21,17.63,45.04,14.83,0.0000,0.0000,0.0000,3.93
268.233,-2.34,2.97,0.00,14.81,18,17,14.89,Closed,15.43,181,0.5000,2617,0.00,0.0000,45.00,0.697,-10.26,17.88,45.04,14.57,0.0000,0.0000,0.0000,3.91
268.356,-3.13,2.34,0.00,14.59,16,16,14.87,Closed,15.41,181,0.5000,2628,0.00,0.0000,45.00,0.697,-10.26,18.04,45.04,14.31,0.0000,0.0000,0.0000,3.92
268.490,-2.34,1.64,0.00,14.93,16,14,14.66,Closed,15.38,181,0.5000,2634,0.00,0.0000,45.00,0.729,-10.15,18.81,45.04,14.56,0.0000,0.0000,0.0000,3.93
268.618,-2.34,2.73,0.00,14.93,17,15,14.86,Closed,15.35,181,0.5000,2616,0.00,0.0000,45.00,0.761,-10.04,19.32,45.04,14.66,0.0000,0.0008,0.0000,3.91
268.744,-1.56,3.05,0.00,15.04,18,16,14.91,Closed,15.32,181,0.5000,2628,0.00,0.0000,45.00,0.787,-9.98,19.32,45.04,14.65,0.0000,0.0010,0.0000,3.92
268.872,-1.56,3.05,0.00,15.04,20,19,14.91,Closed,15.33,181,0.5000,2626,0.00,0.0000,45.00,0.801,-9.90,19.79,45.04,15.08,0.0000,0.0013,0.0000,3.92
269.000,-0.78,3.13,0.00,15.04,21,20,14.92,Closed,15.27,181,0.5000,2616,0.00,0.0000,45.00,0.856,-9.74,21.07,45.04,14.86,0.0000,0.0019,0.0000,3.91
269.130,-0.78,3.13,0.00,15.04,22,21,14.93,Closed,15.24,181,0.5000,2632,0.00,0.0000,45.00,0.895,-9.64,21.26,45.04,14.80,0.0000,0.0019,0.0000,4.49
269.259,0.00,3.13,0.00,15.16,25,22,14.94,Closed,15.24,181,0.5000,2627,0.00,0.0000,45.00,0.926,-9.55,21.35,45.04,15.01,0.0000,0.0020,0.0000,4.48
269.388,0.78,3.13,0.00,15.16,26,24,14.94,Closed,15.24,181,0.5000,2608,0.00,0.0000,45.00,0.931,-9.48,21.75,45.04,15.09,0.0000,0.0023,0.0000,4.45
269.530,0.78,2.58,0.00,14.93,27,25,14.87,Closed,15.22,181,0.5000,2627,0.00,0.0000,45.00,0.958,-9.36,22.24,45.04,14.90,0.0000,0.0025,0.0000,4.48
269.647,0.78,1.95,0.00,14.93,28,27,14.79,Closed,15.20,181,0.5000,2604,0.00,0.0000,45.00,0.992,-9.26,22.14,45.04,14.78,0.0000,0.0025,0.0000,4.44
269.777,1.56,2.97,0.00,15.04,29,28,14.94,Closed,15.20,181,0.5000,2605,0.00,0.0000,45.00,0.993,-9.19,22.53,45.04,15.02,0.0000,0.0025,0.0000,4.45
269.907,2.34,3.13,0.00,15.16,30,27,14.97,Closed,15.20,181,0.5000,2626,0.00,0.0000,45.00,1.007,-9.17,22.65,45.04,15.09,0.0000,0.0021,0.0000,4.48
270.036,3.13,3.13,0.00,15.16,30,28,14.97,Closed,15.19,181,0.5000,2591,0.00,0.0000,45.00,1.042,-9.13,22.99,45.04,14.87,0.0000,0.0021,0.0000,4.42
270.181,3.13,3.13,0.00,15.04,30,28,14.97,Closed,15.17,181,0.5000,2602,0.00,0.0000,45.00,1.101,-8.94,24.42,45.04,15.00,0.0000,0.0029,0.0000,4.44
270.296,3.13,2.66,0.00,15.04,31,30,14.92,Closed,15.13,181,0.5000,2629,0.00,0.0000,45.00,1.137,-8.81,24.41,45.04,15.06,0.0000,0.0029,0.0000,4.49
270.430,3.13,2.66,0.00,15.04,33,31,14.91,Closed,15.13,181,0.5000,2600,0.00,0.0000,45.00,1.150,-8.72,25.01,45.04,14.78,0.0000,0.0030,0.0000,4.99
270.556,3.13,2.34,0.00,14.81,33,32,14.87,Closed,15.12,181,0.5000,2612,0.00,0.0000,45.00,1.162,-8.63,25.36,45.04,14.44,0.0000,0.0027,0.0000,5.01
270.700,3.13,1.72,0.00,14.70,34,31,14.79,Closed,15.12,181,0.5000,2629,0.00,0.0000,45.00,1.166,-8.62,24.76,45.04,14.58,0.0000,0.0026,0.0000,5.05
270.812,3.13,1.95,0.00,14.81,34,32,14.81,Closed,15.12,181,0.5000,2595,0.00,0.0000,45.00,1.171,-8.58,25.00,45.04,14.66,0.0000,0.0023,0.0000,4.98
270.941,2.34,2.66,0.00,14.81,34,32,14.89,Closed,15.14,181,0.5000,2622,0.00,0.0000,45.00,1.163,-8.58,25.36,45.04,14.64,0.0000,0.0076,0.0000,5.03
271.074,2.34,2.73,0.00,14.81,34,33,14.87,Closed,15.13,181,0.5000,2607,0.00,0.0000,45.00,1.177,-8.50,26.31,45.04,14.46,0.0000,0.0025,0.0000,5.01
271.205,2.34,2.89,0.00,14.93,34,33,14.88,Closed,15.09,181,0.5000,2604,0.00,0.0000,45.00,1.242,-8.30,26.89,45.04,15.06,0.0000,0.0028,0.0000,5.00
271.330,3.13,3.20,0.00,15.04,36,33,15.01,Closed,15.08,181,0.5000,2617,0.00,0.0000,45.00,1.265,-8.25,26.31,45.04,15.34,0.0000,0.0025,0.0000,5.03
271.460,3.13,3.20,0.00,15.04,37,35,15.01,Closed,15.09,181,0.5000,2603,0.00,0.0000,45.00,1.241,-8.20,26.42,45.04,14.84,0.0000,0.0023,0.0000,5.00
271.588,1.56,2.50,0.00,14.81,37,35,15.01,Closed,15.08,181,0.5000,2613,0.00,0.0000,45.00,1.269,-8.12,27.36,45.04,14.60,0.0000,0.0024,0.0000,5.02
271.717,2.34,2.50,0.00,15.04,37,36,14.81,Closed,15.07,181,0.5000,2608,0.00,0.0000,45.00,1.281,-8.15,26.30,45.04,15.28,0.0000,0.0019,0.0000,5.01
271.852,3.13,3.20,0.00,15.04,37,37,15.01,Closed,15.10,181,0.5000,2598,0.00,0.0000,45.00,1.254,-8.14,26.30,45.04,14.98,0.0000,0.0016,0.0000,4.99
271.976,2.34,2.81,0.00,14.81,37,36,14.99,Closed,15.11,181,0.5000,2620,0.00,0.0000,45.00,1.266,-8.04,28.18,45.04,14.69,0.0000,0.0022,0.0000,5.03
272.105,2.34,1.95,0.00,14.93,37,35,14.77,Closed,15.04,181,0.5000,2606,0.00,0.0000,45.00,1.376,-7.80,29.81,45.04,15.02,0.0000,0.0032,0.0000,5.00
272.245,4.69,3.28,0.00,15.27,38,36,14.95,Closed,14.97,181,0.5000,2607,0.00,0.0000,45.00,1.487,-7.57,30.04,45.04,15.42,0.0000,0.0034,0.0000,5.56
272.364,5.47,3.28,0.00,15.27,40,38,14.97,Closed,14.95,181,0.5000,2614,0.00,0.0000,45.00,1.484,-7.51,29.10,45.04,15.11,0.0000,0.0032,0.0000,5.58
272.493,3.91,1.80,0.00,14.70,40,39,14.98,Closed,14.97,181,0.5000,2606,0.00,0.0000,45.00,1.436,-7.50,29.10,45.04,14.50,0.0000,0.0028,0.0000,5.56
272.622,3.91,0.31,0.00,14.70,40,39,14.54,Closed,14.98,180,0.5000,2613,0.00,0.0000,45.00,1.455,-7.48,29.45,45.04,14.49,0.0000,0.0023,0.0000,5.57
272.751,5.47,1.33,0.00,14.81,40,38,14.65,Closed,14.99,180,0.5000,2609,0.00,0.0000,45.00,1.461,-7.50,29.10,45.04,14.50,0.0000,0.0078,0.0000,5.57
272.880,4.69,2.66,0.00,14.81,40,38,14.84,Closed,14.99,180,0.5000,2603,0.00,0.0000,45.00,1.451,-7.48,29.45,45.04,14.62,0.0000,0.0018,0.0000,5.55
273.009,4.69,2.81,0.00,14.70,39,39,14.88,Closed,14.99,180,0.5000,2618,0.00,0.0000,45.00,1.444,-7.48,29.33,45.04,14.66,0.0000,0.0015,0.0000,5.59
273.139,3.91,2.73,0.00,14.81,40,39,14.88,Closed,14.99,180,0.5000,2601,0.00,0.0000,45.00,1.442,-7.47,29.21,45.04,14.73,0.0000,0.0013,0.0000,5.55
273.268,3.91,3.28,0.00,14.93,40,39,14.92,Closed,15.00,180,0.5000,2610,0.00,0.0000,45.00,1.453,-7.47,29.57,45.04,14.63,0.0000,0.0013,0.0000,5.57
273.400,3.91,3.28,0.00,14.93,40,38,14.97,Closed,14.99,180,0.5000,2608,0.00,0.0000,45.00,1.470,-7.44,29.56,45.04,15.08,0.0000,0.0011,0.0000,5.56
273.526,3.91,3.28,0.00,14.93,39,38,14.97,Closed,14.99,180,0.5000,2579,0.00,0.0000,45.00,1.471,-7.42,29.68,45.04,14.90,0.0000,0.0010,0.0000,5.50
273.656,3.91,3.05,0.00,14.93,40,38,14.97,Closed,14.99,180,0.5000,2601,0.00,0.0000,45.00,1.450,-7.41,30.03,45.04,14.64,0.0000,0.0011,0.0000,5.55
273.785,-2.34,1.17,0.00,13.78,39,39,14.91,Closed,14.98,180,0.5000,2593,0.00,0.0000,45.00,1.340,-7.41,29.68,45.04,13.18,0.0000,0.0008,0.0000,4.98
